:: Myer Briggs Type Indicator (MBTI) Test

Di bawah ini ada 60 nomor. Masing-masing nomor memiliki dua pernyataan yang bertolak belakang (PERNYATAAN 1 & 2). Pilihlah salah satu pernyataan yang paling sesuai dengan diri Anda dengan men-check pada isian pada kolom yang sudah disediakan (KOLOM PILIHAN). Anda HARUS memilih salah satu yang dominan serta mengisi semua nomor.
No	Pernyataan 1	Pilihan	Pernyataan 2
41	Puas ketika mampu beradaptasi dengan momentum yang terjadi			Puas ketika mampu menjalankan semuanya sesuai rencana
42	Mencari kesempatan untuk berkomunikasi secara perorangan			Memilih berkomunikasi pada sekelompok orang
43	Membiarkan orang lain bertindak bebas asalkan tujuan tercapai			Mengatur orang lain dengan tata tertib agar tujuan tercapai
44	Berorientasi pada hasil			Berorientasi pada proses
45	Bertindak step by step dengan timeframe yang jelas			Bertindak dengan semangat tanpa menggunakan timeframe
46	Menemukan dan mengembangkan ide dengan mendiskusikannya			Menemukan dan mengembangkan ide dengan merenungkan
47	Mengklarifikasi ide dan teori sebelum dipraktekkan			Memahami ide dan teori saat mempraktekkannya langsung
48	Menarik kesimpulan dengan lama dan hati-hati			menarik kesimpulan dengan cepat sesuai naluri
49	Kontinuitas dan stabilitas lebih diutamakan			Perubahan dan variasi lebih diutamakan
50	Mementingkan sebab-akibat			Mementingkan nilai-nilai personal
51	Berorientasi pada dunia eksternal (kegiatan, orang)			Berorientasi pada dunia internal (memori, pemikiran, ide)
52	Berfokus pada masa kini (apa yang bisa diperbaiki sekarang)			Berfokus pada masa depan (apa yang mungkin dicapai di masa depan)
53	Tidak menyukai hal-hal yang bersifat mendadak dan di luar perencanaan			Perubahan mendadak tidak jadi masalah
54	Secara konsisten mengamati dan mengingat detail			Mengamati dan mengingat detail hanya bila berhubungan dengan pola
55	Bersemangat saat menolong orang keluar dari kesalahan dan meluruskan			Bersemangat saat mengkritik dan menemukan kesalahan
56	Berbicara mengenai masalah yang dihadapi hari ini dan langkah-langkah praktis mengatasinya			Berbicara mengenai visi masa depan dan konsep-konsep mengenai visi tersebut
57	Memilih cara yang sudah ada dan sudah terbukti			Memilih cara yang unik dan belum dipraktekkan orang lain
58	Lebih memilih tempat yang tenang dan pribadi untuk berkonsentrasi			Lebih memilih tempat yang ramai dan banyak interaksi / aktifitas
59	Menggunakan keterampilan yang sudah dikuasai			Menyukai tantangan untuk menguasai keterampilan baru
60	Aturan, jadwal dan target sangat mengikat dan membebani			Aturan, jadwal dan target akan sangat membantu dan memperjelas tindakan
proses
